,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Ejido,44,VE,1548731521,91,8.55,-71.24,58.05,1.59
1,Harboore,36,DK,1548730200,92,56.62,8.18,21.2,3.36
2,Saint George,40,GR,1548730200,93,39.45,22.34,44.6,6.93
3,Chuy,44,UY,1548731528,93,-33.69,-53.46,75.69,7.63
4,Busselton,20,AU,1548731530,93,-33.64,115.35,69.93,11.77
5,Nome,40,US,1548730500,84,30.04,-94.42,56.12,3.36
6,Alofi,92,NU,1548731498,100,-19.06,-169.92,78.48,9.86
7,Simao,88,CN,1548731536,87,22.76,100.79,60.39,2.48
8,Broome,12,GB,1548730560,86,52.47,1.45,30.92,9.17
9,Avera,90,US,1548730500,47,33.19,-82.53,51.08,4.7
10,Kapaa,40,US,1548726960,49,22.08,-159.32,77.0,20.8
11,Villa Carlos Paz,0,AR,1548727200,94,-31.42,-64.5,77.0,5.82
12,Mataura,0,NZ,1548731547,78,-46.19,168.86,77.71,5.17
13,Hermanus,0,ZA,1548731550,88,-34.42,19.24,59.49,2.93
14,Vaini,40,IN,1548727200,93,15.34,74.49,60.8,5.82
15,Mogadishu,92,SO,1548731554,100,2.04,45.34,78.12,22.06
16,Cape Town,0,ZA,1548727200,77,-33.93,18.42,64.4,12.75
17,Ekhabi,0,RU,1548731559,77,53.51,142.97,-3.34,7.4
18,Punta Arenas,75,CL,1548727200,61,-53.16,-70.91,46.4,19.46
19,Ankang,64,CN,1548731563,73,32.73,108.99,36.0,2.48
20,Rikitea,8,PF,1548731566,98,-23.12,-134.97,80.91,13.33
21,NEDJO,48,ET,1548731568,65,9.5,35.5,57.01,2.71
22,Hobart,0,AU,1548729000,12,-42.88,147.33,87.8,17.22
23,Arraial do Cabo,0,BR,1548731572,88,-22.97,-42.02,77.4,15.68
24,Castro,40,CL,1548727200,87,-42.48,-73.76,55.4,9.17
25,Hamilton,90,CA,1548730380,85,43.26,-79.87,24.8,12.75
26,Klaksvik,88,FO,1548730200,100,62.23,-6.59,32.0,4.7
27,Kodiak,1,US,1548730500,36,39.95,-94.76,17.06,11.41
28,Lawton,1,US,1548730500,50,34.61,-98.39,41.0,9.17
29,Ushuaia,40,AR,1548727200,81,-54.81,-68.31,44.6,13.87
30,Eirunepe,76,BR,1548731589,91,-6.66,-69.87,76.09,4.16
31,Roald,44,NO,1548730200,100,62.58,6.12,32.0,12.75
32,Beloha,12,MG,1548731593,67,-25.17,45.06,71.59,13.89
33,Saint-Philippe,1,CA,1548729300,60,45.36,-73.48,-0.41,10.42
34,New Norfolk,0,AU,1548729000,12,-42.78,147.06,87.8,17.22
35,Togur,88,RU,1548731600,77,58.36,82.83,5.44,18.03
36,Najran,5,SA,1548730800,36,17.54,44.22,60.8,9.17
37,Bethel,90,US,1548730980,92,60.79,-161.76,30.2,5.82
38,Albany,20,US,1548730440,52,42.65,-73.75,12.02,4.7
39,Jamestown,0,AU,1548731466,94,-33.21,138.6,78.79,3.15
40,Aquiraz,20,BR,1548727200,83,-3.9,-38.39,80.6,6.93
41,Bilibino,36,RU,1548731614,39,68.06,166.44,-26.33,2.37
42,Port Alfred,0,ZA,1548731617,79,-33.59,26.89,72.76,19.37
43,Namibe,0,AO,1548731619,100,-15.19,12.15,73.62,1.7
44,Vestmannaeyjar,0,IS,1548731621,100,63.44,-20.27,25.69,12.88
45,Nuuk,64,GL,1548730200,61,64.17,-51.74,15.8,14.99
46,Hilo,75,US,1548726780,53,19.71,-155.08,73.94,25.28
47,Kavieng,36,PG,1548731627,98,-2.57,150.8,86.17,6.06
48,Wahiawa,40,US,1548730560,57,21.5,-158.02,77.0,14.99
49,Khatanga,48,RU,1548731632,55,71.98,102.47,-31.64,2.71
50,Deputatskiy,56,RU,1548731634,0,69.3,139.9,-33.67,3.94
51,Thompson,75,CA,1548727920,59,55.74,-97.86,-32.81,9.17
52,Nhulunbuy,75,AU,1548729000,74,-12.18,136.78,87.8,13.87
53,Ayan,44,TR,1548731641,86,40.67,33.6,27.36,1.59
54,Bredasdorp,0,ZA,1548730800,88,-34.53,20.04,71.6,3.36
55,Andres Bonifacio,0,PH,1548731645,66,16.42,120.59,75.19,1.36
56,Tuktoyaktuk,75,CA,1548727200,77,69.44,-133.03,6.8,6.93
57,Stege,64,DK,1548730200,100,54.99,12.28,32.0,11.41
58,Severo-Kurilsk,0,RU,1548731652,100,50.68,156.12,26.86,26.87
59,Shizunai,0,JP,1548731654,88,42.33,142.37,29.97,15.01
60,Aksarka,64,RU,1548731656,79,66.56,67.8,-18.19,3.94
61,Camacha,75,PT,1548729000,67,33.08,-16.33,59.0,5.82
62,East London,0,ZA,1548730800,88,-33.02,27.91,68.0,13.87
63,Bennettsville,90,US,1548730800,76,34.62,-79.68,46.22,4.7
64,Cherskiy,0,RU,1548731665,0,68.75,161.3,-30.16,5.17
65,Port Shepstone,0,ZA,1548731667,90,-30.74,30.45,72.63,24.4
66,Tiksi,24,RU,1548731669,0,71.64,128.87,-38.03,3.04
67,Gat,0,SN,1548729000,63,14.69,-16.54,66.2,13.87
68,Norman Wells,75,CA,1548727200,84,65.28,-126.83,1.4,2.24
69,Guerrero Negro,0,MX,1548731676,87,27.97,-114.04,56.43,4.94
70,Port Elizabeth,1,US,1548730560,71,39.31,-74.98,26.96,7.07
71,Seymchan,0,RU,1548731680,0,62.93,152.39,-36.1,2.15
72,Vestmanna,88,FO,1548730200,100,62.16,-7.17,32.0,4.7
73,San Pedro,20,AR,1548731607,76,-33.68,-59.66,81.72,7.4
74,Bilma,0,NE,1548731688,58,18.69,12.92,39.6,2.71
75,Fairbanks,90,US,1548728460,100,64.84,-147.72,24.08,3.15
76,Saldanha,12,PT,1548731692,91,41.42,-6.55,33.03,5.06
77,Butaritari,12,KI,1548731694,100,3.07,172.79,84.24,18.81
78,Longyearbyen,75,NO,1548730200,73,78.22,15.63,23.0,25.28
79,Barra Velha,40,BR,1548727200,88,-26.63,-48.68,82.4,7.63
80,Saskylakh,44,RU,1548731701,0,71.97,114.09,-39.88,2.71
81,Juneau,90,US,1548726960,95,58.3,-134.42,35.96,3.27
82,Jacareacanga,92,BR,1548731705,95,-6.22,-57.76,74.11,2.26
83,Pisco,90,PE,1548727200,83,-13.71,-76.2,77.0,10.29
84,Upernavik,56,GL,1548731710,98,72.79,-56.15,11.16,11.21
85,Cabo San Lucas,20,MX,1548730380,68,22.89,-109.91,69.8,6.93
86,La Peca,20,PE,1548731714,94,-5.61,-78.44,65.43,1.14
87,Sao Joao da Barra,0,BR,1548731716,96,-21.64,-41.05,81.04,14.23
88,Haines Junction,8,CA,1548731719,68,60.75,-137.51,-0.19,2.15
89,Poum,92,MK,1548731721,99,41.28,20.71,36.0,1.25
90,Vao,88,EE,1548731723,86,59.1,26.19,16.51,11.54
91,Dikson,0,RU,1548731725,97,73.51,80.55,-21.7,5.95
92,Bluff,92,AU,1548731727,91,-23.58,149.07,72.67,14.79
93,Kloulklubed,75,PW,1548730200,74,7.04,134.26,84.2,13.87
94,Obregon,1,US,1548730740,34,32.86,-114.79,67.82,2.15
95,Kuldiga,90,LV,1548730200,92,56.97,21.96,26.6,8.05
96,Maumere,64,ID,1548731736,98,-8.63,122.22,81.94,13.22
97,Ternate,40,PH,1548730800,57,14.29,120.72,80.6,13.87
98,Aklavik,75,CA,1548727200,78,68.22,-135.01,8.6,4.7
99,Skelleftea,92,SE,1548730200,84,64.75,20.95,3.2,2.24
100,Keti Bandar,0,PK,1548731745,100,24.14,67.45,66.96,7.63
101,Tokur,68,RU,1548731747,65,53.13,132.9,-5.86,2.59
102,Chokurdakh,64,RU,1548731749,46,70.62,147.9,-28.76,15.01
103,Havelock,1,US,1548730680,100,34.88,-76.9,33.08,3.36
104,Iqaluit,75,CA,1548727200,69,63.75,-68.52,-11.21,18.34
105,Suntar,44,RU,1548731756,72,62.16,117.65,-10.9,3.94
106,Burnie,24,AU,1548731758,95,-41.05,145.91,66.82,12.66
107,Atuona,56,PF,1548731760,99,-9.8,-139.03,81.76,19.48
108,Virginia Beach,1,US,1548730740,77,36.85,-75.98,30.92,4.7
109,Troitsko-Pechorsk,36,RU,1548731765,81,62.71,56.19,3.91,3.94
110,Adrar,0,DZ,1548727200,45,27.87,-0.29,46.4,6.93
111,Paamiut,20,GL,1548731769,100,61.99,-49.67,23.4,12.55
112,Regente Feijo,0,BR,1548727200,69,-22.22,-51.3,77.0,4.7
113,Ilulissat,80,GL,1548730200,72,69.22,-51.1,17.6,6.93
114,Dalhousie,0,IN,1548731776,44,32.54,75.98,24.61,2.71
115,Santa Cruz,1,US,1548730800,86,36.97,-122.03,62.6,2.15
116,Hobyo,0,SO,1548731781,87,5.35,48.53,73.8,16.24
117,Lais,80,ID,1548731783,72,0.79,120.42,82.84,2.04
118,Arandis,20,NA,1548731786,88,-22.42,14.98,56.61,2.26
119,Provideniya,0,RU,1548729000,78,64.42,-173.23,8.6,11.18
120,Torbay,75,CA,1548729840,100,47.66,-52.73,33.8,18.34
121,Georgetown,20,GY,1548727200,100,6.8,-58.16,73.4,4.7
122,Paracuru,40,BR,1548730800,83,-3.41,-39.03,80.6,6.93
123,Ust-Maya,48,RU,1548731797,35,60.42,134.54,-24.26,3.6
124,Sao Filipe,68,CV,1548731799,89,14.9,-24.5,74.16,14.0
125,Cidreira,44,BR,1548731801,88,-30.17,-50.22,76.05,3.94
126,Sinegorye,0,RU,1548731803,47,62.09,150.53,-31.19,2.37
127,Byron Bay,20,AU,1548729000,54,-28.65,153.62,91.4,10.29
128,North Bend,1,US,1548730560,79,43.41,-124.22,48.92,3.36
129,Namatanai,48,PG,1548731810,94,-3.66,152.44,85.68,10.54
130,Grand Gaube,40,MU,1548730800,94,-20.01,57.66,77.0,6.73
131,Mkushi,92,ZM,1548731814,99,-13.61,29.4,64.89,6.85
132,Luanda,40,AO,1548730800,83,-8.83,13.24,78.8,4.7
133,Vadinsk,76,RU,1548731818,91,53.69,43.04,13.81,5.39
134,Lompoc,1,US,1548730560,80,34.64,-120.46,59.0,4.7
135,Geraldton,75,CA,1548727200,61,49.72,-86.95,-18.41,4.7
136,Berlevag,8,NO,1548731825,100,70.86,29.09,-0.1,10.76
137,Sorong,32,ID,1548731827,100,-0.86,131.25,80.73,8.19
138,Kyaikto,8,MM,1548731829,82,17.31,97.01,77.4,3.15
139,Sri Aman,75,MY,1548727200,88,1.24,111.46,82.4,2.24
140,Avarua,40,CK,1548730800,83,-21.21,-159.78,84.2,12.75
141,Pacific Grove,1,US,1548730800,86,36.62,-121.92,60.8,1.92
142,Kavaratti,0,IN,1548731838,100,10.57,72.64,80.46,3.15
143,Carnarvon,68,ZA,1548731840,26,-30.97,22.13,59.89,2.93
144,Chino Valley,1,US,1548730500,22,34.76,-112.45,51.8,3.04
145,Victoria,75,BN,1548729000,78,5.28,115.24,86.0,6.93
146,Tieling,0,CN,1548731847,30,42.29,123.84,34.06,18.48
147,North Platte,75,US,1548726780,43,41.12,-100.77,24.98,9.17
148,Yellowknife,20,CA,1548727200,74,62.45,-114.38,-27.41,4.7
149,Gimli,8,CA,1548731782,69,50.63,-96.99,-15.85,12.21
150,Rio Claro,0,BR,1548731855,80,-22.41,-47.56,68.26,1.36
151,Ouadda,36,CF,1548731858,34,8.07,22.4,74.34,8.52
152,Lasa,75,CY,1548729000,87,34.92,32.53,51.8,5.82
153,Pangnirtung,76,CA,1548731862,78,66.15,-65.72,-0.91,3.15
154,Codrington,40,AU,1548727200,38,-28.95,153.24,91.4,10.29
155,Tomatlan,0,MX,1548731866,92,19.93,-105.25,63.49,2.15
156,Orlik,12,RU,1548731869,66,52.51,99.83,-19.18,2.82
157,Luorong,68,CN,1548731871,100,24.41,109.6,59.04,4.16
158,Qaanaaq,0,GL,1548731873,80,77.48,-69.36,-8.74,8.52
159,Clyde River,90,CA,1548730800,76,70.47,-68.59,-7.61,14.99
160,Seoul,0,KR,1548730800,23,37.57,126.98,37.4,4.7
161,Nikolskoye,75,RU,1548730800,85,59.7,30.79,12.2,8.95
162,Ribeira Grande,36,PT,1548731882,100,38.52,-28.7,59.04,6.62
163,Severobaykalsk,20,RU,1548731884,52,55.65,109.32,-12.38,3.71
164,Erzin,40,TR,1548730200,66,36.95,36.2,55.4,9.17
165,Barrow,0,AR,1548731888,71,-38.31,-60.23,71.46,6.73
166,Faanui,68,PF,1548731891,100,-16.48,-151.75,81.63,22.84
167,Naze,36,NG,1548731893,95,5.43,7.07,72.9,3.04
168,Sidi Ali,0,DZ,1548731895,75,36.1,0.42,49.72,7.29
169,Cabedelo,20,BR,1548730800,100,-6.97,-34.84,75.2,5.82
170,Navalmoral de la Mata,0,ES,1548731899,89,39.89,-5.54,33.3,3.15
171,Dingle,0,PH,1548731901,57,11.0,122.67,80.59,17.13
172,Jinja,24,UG,1548731904,89,0.44,33.21,63.31,0.92
173,Te Anau,36,NZ,1548731753,65,-45.41,167.72,69.39,3.94
174,De-Kastri,0,RU,1548731908,100,51.48,140.77,6.12,4.38
175,Campo Grande,0,BR,1548730800,78,-20.46,-54.62,73.4,5.82
176,Adre,0,TD,1548731913,43,13.47,22.2,60.16,4.16
177,Katsuura,40,JP,1548731220,45,33.93,134.5,46.4,17.22
